Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.040275	 0.851329 	 numero de thread:0
0.040338	 0.851433 	 numero de thread:0
0.040401	 0.851537 	 numero de thread:0
0.040464	 0.851641 	 numero de thread:0
0.040527	 0.851745 	 numero de thread:0
0.040589	 0.851850 	 numero de thread:0
0.040652	 0.851954 	 numero de thread:0
0.040715	 0.852058 	 numero de thread:0
0.040778	 0.852162 	 numero de thread:0
0.040841	 0.852266 	 numero de thread:0
0.040904	 0.852371 	 numero de thread:0
0.040966	 0.852475 	 numero de thread:0
0.041029	 0.852579 	 numero de thread:0
0.041092	 0.852683 	 numero de thread:0
